file,aspect_ratio,circularity,solidity,extent,hull_ar,label,label_id
005323_jpg.rf.HDINKfaGEFY5Fe9ZEzkR.jpg,1.0,0.3377,0.8765,0.8737,1.0,helm,0
005323_jpg.rf.HDINKfaGEFY5Fe9ZEzkR_aug_dark.jpg,1.0,0.321,0.8784,0.8757,1.0,helm,0
005323_jpg.rf.HDINKfaGEFY5Fe9ZEzkR_aug_flip.jpg,1.0,0.3376,0.8765,0.8737,1.0,helm,0
005323_jpg.rf.HDINKfaGEFY5Fe9ZEzkR_aug_light.jpg,1.0,0.3379,0.876,0.8733,1.0,helm,0
005561_jpg.rf.uxzP2C6m5xdKPkPzO5cr.jpg,1.0,0.2058,0.7652,0.7186,1.0,helm,0
005561_jpg.rf.uxzP2C6m5xdKPkPzO5cr_aug_dark.jpg,1.0,0.2054,0.7649,0.7184,1.0,helm,0
005561_jpg.rf.uxzP2C6m5xdKPkPzO5cr_aug_flip.jpg,1.0,0.2059,0.7652,0.7186,1.0,helm,0
005561_jpg.rf.uxzP2C6m5xdKPkPzO5cr_aug_light.jpg,1.0,0.2052,0.7689,0.7222,1.0,helm,0
005698_jpg.rf.95QUqYmypRYBrwLBgb9n.jpg,1.0,0.2129,0.7469,0.6273,1.0,helm,0
005698_jpg.rf.95QUqYmypRYBrwLBgb9n_aug_dark.jpg,1.0,0.2131,0.7472,0.6276,1.0,helm,0
005698_jpg.rf.95QUqYmypRYBrwLBgb9n_aug_flip.jpg,1.0,0.2128,0.7469,0.6273,1.0,helm,0
005698_jpg.rf.95QUqYmypRYBrwLBgb9n_aug_light.jpg,1.0,0.2015,0.7461,0.622,1.0,helm,0
006232_jpg.rf.PKc9Etwp6oU9dotnMHxM.jpg,1.0997,0.1307,0.726,0.6972,1.0997,helm,0
006232_jpg.rf.PKc9Etwp6oU9dotnMHxM_aug_dark.jpg,1.0997,0.1312,0.7267,0.6979,1.0997,helm,0
006232_jpg.rf.PKc9Etwp6oU9dotnMHxM_aug_flip.jpg,1.0997,0.1307,0.726,0.6972,1.0997,helm,0
006232_jpg.rf.PKc9Etwp6oU9dotnMHxM_aug_light.jpg,1.0997,0.1309,0.7258,0.6969,1.0997,helm,0
0_13117620_jpg.rf.ulfWJ3UQeVHUkemTk2Rs.jpg,1.0811,0.3452,0.8518,0.6303,1.0811,helm,0
