File,Aktual,Prediksi,Status,Aspect Ratio,Circularity,Solidity
images-5-copy-_jpeg_jpg.rf.eY3u4EbGg7PSAVBEuNJc.jpg,Helm,Helm,BENAR,0.98,0.4,0.73
images-7-copy-_jpeg_jpg.rf.2g1ZseyD6rU0i3FhDtzH.jpg,Helm,Helm,BENAR,1.32,0.67,0.94
images-8-copy-_jpeg_jpg.rf.NMPMZU2XDFVPrQAOtQ2p.jpg,Helm,Helm,BENAR,1.15,0.83,0.99
Kasklar-_-Piramit-Is-Guvenligi-Malzemeleri-1-_jpg.rf.ehbfHF7w487a3qW3Nvhk.jpg,Helm,Helm,BENAR,1.31,0.58,0.87
Kasklar-_-Piramit-Is-Guvenligi-Malzemeleri-1-_jpg.rf.FMn6lF4qmAno7nkPb95W.jpg,Helm,Helm,BENAR,1.31,0.58,0.87
Kasklar-_-Piramit-Is-Guvenligi-Malzemeleri-1-_jpg.rf.sCmThpdxYAIbiLya3gUn.jpg,Helm,Helm,BENAR,0.76,0.57,0.87
Kasklar-_-Piramit-Is-Guvenligi-Malzemeleri-2-_jpg.rf.yYPE1RIZ39FhcNGY0NgK.jpg,Helm,Helm,BENAR,0.92,0.35,0.81
Kasklar-_-Piramit-Is-Guvenligi-Malzemeleri_jpg.rf.kP0UyiWDWcrvgdaiDZkr.jpg,Helm,Kacamata,SALAH,0.78,0.19,0.54
Kasklar-_-Piramit-Is-Guvenligi-Malzemeleri_jpg.rf.Wb82lWfRjbgSeaI4Szey.jpg,Helm,Helm,BENAR,1.28,0.19,0.54
Milageto-Koruyucu-kask-Profesyonel-is-koruma-kask_jpg.rf.O66cnS2C2qwZrEsVHTOg.jpg,Helm,Helm,BENAR,1.15,0.35,0.79
MSA-V-Gard-520-is-kaski_-cene-kayisli_-EN-39-1-_jpg.rf.we8xU98zs2295xkzHLJL.jpg,Helm,Helm,BENAR,1.0,0.64,0.9
MSA-V-Gard-520-is-kaski_-cene-kayisli_-EN-39-3-_jpg.rf.dQjtvvvqKPI0Hb2YYTDF.jpg,Helm,Helm,BENAR,1.04,0.62,0.88
MSA-V-Gard-520-is-kaski_-cene-kayisli_-EN-39-3-_jpg.rf.Kyg1WvkH1OqSa12mTRBM.jpg,Helm,Helm,BENAR,0.96,0.62,0.88
MSA-V-Gard-520-is-kaski_-cene-kayisli_-EN-39-3-_jpg.rf.lGybij8D0fgOz9jah2Ku.jpg,Helm,Helm,BENAR,1.04,0.62,0.88
uvex-baretler-gulep-is-guvenligi-Is-Guvenligi_yyt-1-_jpg.rf.Ea8KkZnPZfvsDg54siw1.jpg,Helm,Helm,BENAR,1.32,0.26,0.53
uvex-baretler-gulep-is-guvenligi-Is-Guvenligi_yyt-1-_jpg.rf.uJYFtVvEj3QTNzMxeo7q.jpg,Helm,Kacamata,SALAH,0.75,0.27,0.52
uvex-baretler-gulep-is-guvenligi-Is-Guvenligi_yyt-3-_jpg.rf.bPzBXN0RVv6cLjSVXNxB.jpg,Helm,Helm,BENAR,1.07,0.38,0.89
uvex-baretler-gulep-is-guvenligi-Is-Guvenligi_yyt-3-_jpg.rf.ggBwdXKqbpHrj6YCuoSD.jpg,Helm,Helm,BENAR,1.07,0.47,0.91
uvex-baretler-gulep-is-guvenligi-Is-Guvenligi_yyt_jpg.rf.iQXoiqIOdYnIipH0qYBQ.jpg,Helm,Helm,BENAR,1.32,0.27,0.53
VIDALI-BARET-IS-GUVENLIGI-KASKI-CE-EN-397__jpeg_jpg.rf.3wCWxjAq2jkdVTTwP8lI.jpg,Helm,Helm,BENAR,0.93,0.64,0.9
Vidali-Baret-Is-Guvenligi-Kaski-Ce-En-397__jpg.rf.fX6tVtUY6qR0o6zHcUbf.jpg,Helm,Kacamata,SALAH,0.48,0.22,0.71
Vidali-Baret-Is-Guvenligi-Kaski-Ce-En-397__jpg.rf.Kkzq4BA4xQu2WQ7r08TI.jpg,Helm,Helm,BENAR,2.1,0.22,0.71
Vira-Siyah-Sp-200-Is-Guvenligi-Bareti-Fiyati__yythk_jpg.rf.LplE6YvkpNTBBLQ0tQDU.jpg,Helm,Helm,BENAR,2.02,0.55,0.91
Vira-Siyah-Sp-200-Is-Guvenligi-Bareti-Fiyati__yythk_jpg.rf.W6NYk7woKCcE5RYHVzzR.jpg,Helm,Helm,BENAR,0.49,0.55,0.91
Vizorlu-Is-Guvenligi-Kaski-Fiyati-_-Haibrag-3-_jpg.rf.ty9knPU0VpfsjguwxqeY.jpg,Helm,Kacamata,SALAH,0.8,0.28,0.64
